username,repositorio,hash,linguagem_programacao,Classificacao,tempo_criacao
z00467499,https://github.com/torvalds/linux,088aaf17aa79300cab14dbee2569c58cfafd7d6e,C,NÃO FAMILIAR,2019-02-15 01:53:12+00:00
pavel-savinov,https://github.com/liferay/liferay-portal,7e063aed70f947a92bb43a4471e0c4e650fe8f7f,Scala,NÃO FAMILIAR,2015-06-01 14:02:54+00:00
Shnoulle,https://github.com/LimeSurvey/LimeSurvey,32d6a5224327b246ee3a2a08500544e4f80f9a9a,PHP,NÃO FAMILIAR,2012-02-15 10:18:28+00:00
Shnoulle,https://github.com/LimeSurvey/LimeSurvey,f1c1ad2d24eb262363511fcca2e96ce737064006,PHP,NÃO FAMILIAR,2012-02-15 10:18:28+00:00
kcp-git,https://github.com/torvalds/linux,7d0a06586b2686ba80c4a2da5f91cb10ffbea736,C,NÃO FAMILIAR,2018-04-24 13:59:10+00:00
mikedingjan,https://github.com/labd/wagtail-2fa,13b12995d35b566df08a17257a23863ab6efb0ca,Markdown,NÃO FAMILIAR,2012-02-15 15:27:34+00:00
pamil,https://github.com/Sylius/Sylius,be245302dfc594d8690fe50dd47631d186aa945f,Markdown,NÃO FAMILIAR,2012-06-27 10:08:47+00:00
jim-p,https://github.com/pfsense/pfsense,d31362b69d5d52dc196dc72f66e830cd1e6e9a4f,PHP,NÃO FAMILIAR,2009-12-30 23:40:35+00:00
jim-p,https://github.com/pfsense/pfsense,2c544ac61ce98f716d50b8e5961d7dfba66804b5,PHP,NÃO FAMILIAR,2009-12-30 23:40:35+00:00
cigamit,https://github.com/Cacti/cacti,adf221344359f5b02b8aed43dfb6b33ae5d708c8,PHP,NÃO FAMILIAR,2011-08-03 19:29:30+00:00
jow-,https://github.com/openwrt/luci,f8c6eb67cd9da09ee20248fec6ab742069635e47,Lua,NÃO FAMILIAR,2012-10-10 14:02:31+00:00
ldaley,https://github.com/ratpack/ratpack,c560a8d10cb8bdd7a526c1ca2e67c8f224ca23ae,Scala,NÃO FAMILIAR,2008-07-22 11:18:53+00:00
kevina,https://github.com/GNUAspell/aspell,80fa26c74279fced8d778351cff19d1d8f44fe4e,C++,NÃO FAMILIAR,2011-12-18 21:49:04+00:00
error ao obter,https://gitlab.com/libtiff/libtiff,4bb584a35f87af42d6cf09d15e9ce8909a839145,C,NÃO FAMILIAR,
aaron-costello,https://github.com/ether/etherpad-lite,5879037ddca4ab9a4002adf90fc7ce6c9f82f01b,HTML,NÃO FAMILIAR,2019-10-17 13:08:31+00:00
dov,https://github.com/fribidi/fribidi,034c6e9a1d296286305f4cfd1e0072b879f52568,C,NÃO FAMILIAR,2010-07-20 06:24:23+00:00
brusch,https://github.com/pimcore/pimcore,ca036e9f86bb5cdb3dac0930ec131e5f35e26c5f,JavaScript,NÃO FAMILIAR,2009-10-20 08:51:30+00:00
invalid-email-address,https://github.com/3s3s/opentrade,a3eb3c645cfd1f3d310c10e4fb1f2f64a4d5e45e,JavaScript,NÃO FAMILIAR,
frankmorgner,https://github.com/OpenSC/OpenSC,c3f23b836e5a1766c36617fe1da30d22f7b63de2,C++,NÃO FAMILIAR,2011-12-15 22:10:25+00:00
falconindy,https://github.com/shadow-maint/shadow,edf7547ad5aa650be868cf2dac58944773c12d75,Shell,NÃO FAMILIAR,2009-06-26 20:40:20+00:00
ChristianKoenigAMD,https://github.com/torvalds/linux,453393369dc9806d2455151e329c599684762428,C,NÃO FAMILIAR,2021-05-19 10:35:59+00:00
ChristianKoenigAMD,https://github.com/torvalds/linux,a66477b0efe511d98dde3e4aaeb189790e6f0a39,C,NÃO FAMILIAR,2021-05-19 10:35:59+00:00
ChristianKoenigAMD,https://github.com/torvalds/linux,ac1e516d5a4c56bf0cb4a3dfc0672f689131cfd4,C,NÃO FAMILIAR,2021-05-19 10:35:59+00:00
tolzhabayev,https://github.com/grafana/grafana,fd48aee61e4328aae8d5303a9efd045fa0ca308d,Markdown,NÃO FAMILIAR,2011-01-24 12:29:47+00:00
alexander-schranz,https://github.com/sulu/sulu,30bf8b5a4f83b6f2171a696011757d095edaa28a,PHP,NÃO FAMILIAR,2012-05-02 09:50:51+00:00
yhatt,https://github.com/yhatt/jsx-slack,46bc88391d89d5fda4ce689e18ca080bcdd29ecc,Scala,NÃO FAMILIAR,2013-03-28 08:03:17+00:00
hieucao,https://github.com/NiklasMerz/cordova-plugin-fingerprint-aio,27434a240f97f69fd930088654590c8ba43569df,Swift,NÃO FAMILIAR,2010-02-04 04:13:36+00:00
NGPixel,https://github.com/Requarks/wiki,57b56d3a5b9c00358814e76f3ee5b4bb353ad62f,TypeScript,NÃO FAMILIAR,2015-10-31 14:03:26+00:00
Germey,https://github.com/Gerapy/Gerapy,49bcb19be5e0320e7e1535f34fe00f16a3cf3b28,Python,NÃO FAMILIAR,2014-09-06 14:34:23+00:00
donatello,https://github.com/minio/minio,5a96cbbeaabd0a82b0fe881378e7c21c85091abf,Go,NÃO FAMILIAR,2010-02-09 07:14:35+00:00
mwleeds,https://github.com/flatpak/flatpak,54ec1a482dfc668127eaae57f135e6a8e0bc52da,Shell,NÃO FAMILIAR,2014-06-08 23:28:11+00:00
vincentbernat,https://github.com/acassen/keepalived,7977fec0be89ae6fe87405b3f8da2f0b5e415e3d,Batchfile,NÃO FAMILIAR,2011-02-22 07:20:26+00:00
philipianpearce,https://github.com/e2guardian/e2guardian,eae46a7e2a57103aadca903c4a24cca94dc502a2,C++,NÃO FAMILIAR,2013-08-12 15:18:55+00:00
torinfo,https://github.com/thexerteproject/xerteonlinetoolkits,1672d6f46bbd6f6d42f0903ce9a313927ae2836b,PHP,NÃO FAMILIAR,2013-08-05 14:28:25+00:00
torinfo,https://github.com/thexerteproject/xerteonlinetoolkits,6daeb81d089d4a561e22f931fff1327660a7d1b5,PHP,NÃO FAMILIAR,2013-08-05 14:28:25+00:00
torinfo,https://github.com/thexerteproject/xerteonlinetoolkits,48a9880c6ac38f4d215f9143baf3d6e6062a1871,PHP,NÃO FAMILIAR,2013-08-05 14:28:25+00:00
mark-unwin,https://github.com/Opmantek/open-audit,d27b649283aa6a01a15e5a3df1520d7aa69a5e18,PHP,NÃO FAMILIAR,2014-09-01 10:16:48+00:00
mark-unwin,https://github.com/Opmantek/open-audit,e37b64bbd0219f03cb71cc1cd5bb010166a2b846,PHP,NÃO FAMILIAR,2014-09-01 10:16:48+00:00
febinrev,https://github.com/prasathmani/tinyfilemanager,2046bbde72ed76af0cfdcae082de629bcc4b44c7,PHP,NÃO FAMILIAR,2019-06-26 04:20:29+00:00
error ao obter,https://bitbucket.org/ritt/elog,eefdabb714f26192f585083ef96c8413e459a1d1,C,NÃO FAMILIAR,
error ao obter,https://bitbucket.org/ritt/elog,993bed4923c88593cc6b1186e0d1b9564994a25a,C,NÃO FAMILIAR,
Sean-Der,https://github.com/pion/dtls,fd73a5df2ff0e1fb6ae6a51e2777d7a16cc4f4e0,Go,NÃO FAMILIAR,2012-01-03 21:39:22+00:00
jreiser,https://github.com/upx/upx,8be9da8280dfa69d5df4417d4d81bda1cab78010,C++,NÃO FAMILIAR,2016-08-31 14:13:50+00:00
